Driver,Race,LapNumber,umap_x,umap_y
ALO,2024_Monza,17.0,-2.1869571,10.6889105
ALO,2024_Monza,18.0,-2.2109897,10.685317
ALO,2024_Monza,19.0,-2.4441535,9.9754
ALO,2024_Monza,20.0,-2.5808995,9.8335085
ALO,2024_Monza,21.0,-2.2510822,10.291799
ALO,2024_Monza,22.0,-2.4345448,9.999132
ALO,2024_Monza,23.0,-2.4975426,9.981758
ALO,2024_Monza,24.0,-2.4359818,10.028266
ALO,2024_Monza,25.0,-2.4201114,10.168239
ALO,2024_Monza,26.0,-2.3983755,10.026815
ALO,2024_Monza,27.0,-2.3845897,10.042179
ALO,2024_Monza,28.0,-2.7125497,9.905289
ALO,2024_Monza,29.0,-2.3086424,10.231951
ALO,2024_Monza,30.0,-2.3858202,10.045083
ALO,2024_Monza,31.0,-2.5170026,10.053296
ALO,2024_Monza,32.0,-2.457898,9.995791
ALO,2024_Monza,33.0,-2.4133387,10.024314
ALO,2024_Monza,34.0,-2.5457692,9.92722
ALO,2024_Monza,37.0,-2.210814,10.704206
ALO,2024_Monza,38.0,-2.510306,10.166101
ALO,2024_Monza,39.0,-2.4388628,10.217148
ALO,2024_Monza,40.0,-2.417347,9.99883
ALO,2024_Monza,41.0,-2.5701878,9.830177
ALO,2024_Monza,42.0,-2.509485,9.916474
ALO,2024_Monza,43.0,-2.4301212,9.99828
ALO,2024_Monza,44.0,-2.4604256,9.93787
ALO,2024_Monza,45.0,-2.4561634,9.9771595
ALO,2024_Monza,46.0,-2.715656,10.4432
ALO,2024_Monza,47.0,-2.643759,10.092375
ALO,2024_Monza,48.0,-2.5862582,9.933342
ALO,2024_Monza,49.0,-2.790385,9.884626
ALO,2024_Monza,50.0,-2.655141,9.769745
ALO,2024_Monza,51.0,-2.453411,10.245893
ALO,2024_Monza,52.0,-3.9448981,10.1824465
ALO,2024_Monza,53.0,-2.3778656,10.057022
ALO,2024_Silverstone,2.0,-2.1782854,10.424682
ALO,2024_Silverstone,3.0,-2.2030878,10.5320015
ALO,2024_Silverstone,4.0,-2.426648,10.554574
ALO,2024_Silverstone,5.0,-2.228469,10.355714
ALO,2024_Silverstone,6.0,-2.1576674,10.593079
ALO,2024_Silverstone,7.0,-2.3982904,10.407888
ALO,2024_Silverstone,8.0,-2.6473637,9.759492
ALO,2024_Silverstone,9.0,-2.6040263,9.910588
ALO,2024_Silverstone,10.0,-2.270636,10.675353
ALO,2024_Silverstone,11.0,-2.626206,9.894594
ALO,2024_Silverstone,12.0,-2.3230278,10.324801
ALO,2024_Silverstone,13.0,-2.9774926,11.146999
ALO,2024_Silverstone,14.0,-2.3498056,10.463378
ALO,2024_Silverstone,15.0,-2.9296753,11.007838
ALO,2024_Silverstone,16.0,-2.2273242,10.423013
ALO,2024_Silverstone,17.0,-2.1941612,10.338703
ALO,2024_Silverstone,18.0,2.86434,1.6296012
ALO,2024_Silverstone,21.0,-2.2477481,10.514921
ALO,2024_Silverstone,22.0,-2.8608174,10.997768
ALO,2024_Silverstone,23.0,-2.484748,10.522307
ALO,2024_Silverstone,24.0,-2.172395,10.390569
ALO,2024_Silverstone,25.0,-2.895947,11.352779
ALO,2024_Silverstone,40.0,-3.9638004,10.31954
ALO,2024_Silverstone,41.0,-3.9738078,10.430011
