Driver,LapNumber,LapTime_s,Race,Season,brake_duration_ratio,throttle_smoothness,full_throttle_ratio,coasting_ratio,gear_change_freq,speed_at_throttle_lift,mean_corner_speed,speed_variance,throttle_brake_overlap
LEC,25.0,98.541,Bahrain,2023,0.20647773279352227,2.289809621146957,0.48582995951417,0.04048582995951417,6.342780026990553,258.3777768296296,124.56355745290166,69.45012884086077,0.001349527665317139
LEC,26.0,99.668,Bahrain,2023,0.20451527224435592,2.2606382978723403,0.49667994687915007,0.01593625498007968,6.507304116865869,229.87857097142856,122.50816302898406,72.46847836759666,0.00796812749003984
LEC,27.0,98.814,Bahrain,2023,0.2456839309428951,2.2393617021276597,0.4648074369189907,0.0199203187250996,6.241699867197875,282.7791712,124.79445600087641,69.33494195357835,0.013280212483399735
LEC,28.0,98.618,Bahrain,2023,0.2124492557510149,2.2640631042973287,0.4871447902571042,0.04194857916102842,6.7658998646820026,287.2437488,126.4162215015844,69.56619265012655,0.014884979702300407
LEC,29.0,98.447,Bahrain,2023,0.2183288409703504,2.284914209215346,0.5080862533692723,0.013477088948787063,6.334231805929918,,125.60310617128704,70.02807780069087,0.0215633423180593
LEC,30.0,98.39,Bahrain,2023,0.2018348623853211,2.1863517060367452,0.4967234600262123,0.03407601572739188,6.028833551769332,281.0,125.8750904026707,69.26952943452704,0.00655307994757536
LEC,31.0,98.746,Bahrain,2023,0.19418758256274768,2.2566137566137567,0.5059445178335535,0.03038309114927345,6.472919418758257,,126.55402184962855,68.24538092668998,0.010568031704095112
LEC,32.0,98.948,Bahrain,2023,0.19811320754716982,2.2699055330634277,0.5,0.03773584905660377,6.60377358490566,292.0,125.20856435903767,69.87543109366912,0.01078167115902965
LEC,33.0,101.323,Bahrain,2023,0.21505376344086022,2.5141318977119784,0.47580645161290325,0.03225806451612903,6.854838709677419,239.62380952380954,122.43172383428121,70.98720116364198,0.021505376344086023
LEC,35.0,98.073,Bahrain,2023,0.18885869565217392,2.3883078247619047,0.44972826086956524,0.06657608695652174,6.385869565217392,262.75,127.9493712941718,67.59568460904761,0.0
LEC,36.0,97.313,Bahrain,2023,0.20433017591339647,2.3265582655826558,0.4722598105548038,0.04330175913396482,6.2246278755074425,298.0,129.47307425158402,68.48278358777938,0.005412719891745603
LEC,37.0,97.17,Bahrain,2023,0.1910569105691057,2.32157394843962,0.4742547425474255,0.04336043360433604,7.317073170731707,251.33333333333334,128.5416302264305,68.13764477833116,0.013550135501355014
LEC,38.0,97.17,Bahrain,2023,0.19054054054054054,2.362942199884013,0.4689189189189189,0.052702702702702706,6.756756756756757,261.4733539363804,128.2977911390806,68.08901343392569,0.006756756756756757
LEC,39.0,97.287,Bahrain,2023,0.20357634112792297,2.395021645021645,0.4649243466299862,0.04126547455295736,6.740027510316368,255.1781256,127.42181738143694,68.10572283727113,0.0041265474552957355
