dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
0.0,5.8203826,2.2301126,2.7346501,0.0,3.2980676,1.6506288,3.606201,0.0,0.0,4.4530864,1.0858966,0.0,0.0,0.123432525,0.0,7.225346,1.6142824,0.0,7.1510572,0.0,9.106975,0.5951989,10.110047,7.0660195,0.0,4.979088,0.0,0.68690014,0.0,4.2743616,0.0,ALO,2023_Bahrain,12.0
0.0,6.818621,3.2823472,1.301981,0.0,2.9299273,1.1120329,2.5476575,0.0,0.0,3.9323604,0.0,0.0,0.0,0.0,0.0,8.278395,0.0,0.0,7.6422124,0.0,9.065413,0.89052933,9.554547,6.2503023,0.0,6.3623004,0.0,0.0,0.0,2.659043,0.0,ALO,2023_Bahrain,13.0
0.0,6.5045114,2.4709375,2.1428607,0.0,3.4304695,0.68168783,3.4368286,0.0,0.0,4.9498644,0.0,0.0,0.0,0.0,0.0,8.603007,0.5369687,0.0,7.762695,0.0,9.997214,0.18183798,10.823874,7.3098845,0.0,6.1177197,0.0,0.43306848,0.0,3.7767217,0.0,ALO,2023_Bahrain,14.0
0.0,4.923313,2.1097388,2.6499343,0.0,3.155266,1.5696357,3.8702888,0.49329087,0.0,4.384719,1.3829705,0.39817932,0.29988736,0.6208161,0.0,6.4391646,1.6650498,0.0,5.6854253,0.0,7.891007,0.4403293,8.656587,5.941173,0.0,4.910061,0.0,1.4744551,0.0,3.7498116,0.0,ALO,2023_Bahrain,16.0
0.0,5.4424543,2.2588038,2.4491854,0.0,4.1456547,0.2719836,3.9192438,1.2389892,0.0,4.6569295,0.30741072,0.0,0.9756604,0.10218243,0.0,7.3676925,0.7624764,0.0,5.7889166,0.0,8.182564,0.0,8.806151,5.3132477,0.0,6.4315276,0.0,1.7131214,0.0,2.4961908,0.0,ALO,2023_Bahrain,17.0
0.0,5.407677,1.9603266,2.4075103,0.0,5.095609,0.0,4.7901325,1.7337338,0.0,5.92303,0.0,0.0,1.4392624,0.25309825,0.0,8.481443,0.043891013,0.0,5.618962,0.0,8.858383,0.0,9.491487,5.700499,0.0,7.5586786,0.0,2.5974765,0.0,1.9938354,0.0,ALO,2023_Bahrain,18.0
0.0,4.5175533,1.4224666,3.0585172,0.0,5.0004497,0.0,5.7804747,1.9207647,0.0,6.5627117,0.9170791,0.0,1.4857831,1.1385723,0.0,7.8605275,0.9876582,0.0,4.738323,0.0,8.684401,0.0,9.447109,6.062506,0.0,6.851835,0.0,3.4855192,0.0,3.0267646,0.0,ALO,2023_Bahrain,19.0
0.0,5.635411,1.9234184,2.6511152,0.0,4.7133884,0.0,4.5767875,0.9869281,0.0,5.715818,0.057228997,0.0,0.8505214,0.15337756,0.0,8.3923,0.5230688,0.0,6.2699404,0.0,9.306884,0.0,10.098279,6.3742433,0.0,6.9233074,0.0,2.0514262,0.0,2.853565,0.0,ALO,2023_Bahrain,20.0
0.0,4.674212,1.2733577,2.9887683,0.0,4.5910077,0.0,5.1480684,1.0204962,0.0,6.1193023,0.7221792,0.0,0.8225046,0.6993106,0.0,7.748958,1.0239537,0.0,5.3833323,0.0,8.910893,0.0,9.800619,6.4860263,0.0,6.1655097,0.0,2.6376386,0.0,3.395558,0.0,ALO,2023_Bahrain,21.0
0.0,4.4726825,1.4258041,2.9353466,0.0,4.5272965,0.0,4.9525614,1.4273806,0.0,5.639693,0.9172331,0.0,1.1283841,0.78602767,0.0,7.177268,1.1425616,0.0,4.932357,0.0,8.190368,0.0,9.007439,5.7900634,0.0,6.052164,0.0,2.7067769,0.0,2.9979281,0.0,ALO,2023_Bahrain,22.0
